qid,question,category,sampled_answers,representative_answer,agreement_score,correct_sim,incorrect_sim,label,llm_calls
sciq_0000,What term means the set of processes by which metals are extracted from their ores and converted to more useful forms?,science,"['The term that best describes the set of processes by which metals are extracted from their ores and converted to more useful forms is mineral processing.', 'The term that describes the set of processes by which metals are extracted from their ores and converted to more useful forms is ""mineral extraction"" or, more specifically, ""mineral processing"".', 'Metallurgy.', 'Metallurgy.', 'The term that best describes the set of processes by which metals are extracted from their ores and converted to more useful forms is ""mineral processing"".']",The term that best describes the set of processes by which metals are extracted from their ores and converted to more useful forms is mineral processing.,0.3769230769230769,0.0,0.0,1,5
sciq_0001,What do charged particles in motion generate?,science,"['Charged particles in motion, such as electrons and protons, generate an electric field. This electric field is a region around the charged particles where the force of attraction or repulsion is present due to the interaction with other charged particles.', 'Charged particles in motion generate electric fields.', 'Charged particles in motion, such as electrons, generate an electric field. This is a fundamental concept in physics, where the motion of charged particles creates a magnetic field around them, which in turn generates an electric field.', 'Charged particles in motion generate an electric field.', 'Charged particles in motion generate an electric field, which is a region around the particle where the force of attraction or repulsion is strongest. This electric field is a vector field that describes the distribution of electric charge within the particle, with positive charges repelling each other and negative charges attracting each other.']",Charged particles in motion generate an electric field.,0.4178745004521781,0.0,0.0,1,5
sciq_0002,"During a human pregnancy, which trimester exhibits the greatest growth of the fetus and culminates in labor and delivery?",science,"[""The second trimester, from approximately 28 to 32 weeks of gestation, is the period with the greatest growth of the fetus and culminates in labor and delivery. During this trimester, the fetus grows rapidly, and the fetus's organs and body systems mature, preparing for life outside the womb."", ""The second trimester of pregnancy typically exhibits the greatest growth of the fetus and culminates in labor and delivery. By the end of the second trimester, the fetus's head is about 2-3 inches (5-7.5 cm) long, and its body length is about 5-6 inches"", ""The second trimester of pregnancy generally exhibits the greatest growth of the fetus and culminates in labor and delivery. During this period, the fetus grows at a rapid rate, with the brain, bones, and organs developing rapidly, and the fetus's lungs, skin, and muscles are also forming."", 'The second trimester of pregnancy typically exhibits the greatest growth of the fetus and culminates in labor and delivery. By approximately 28-32 weeks, the fetus is approximately 4-6 inches (10-15 cm) in length and weighs around 1-2 pounds (0.5-1 kg),', 'The second trimester is the period that exhibits the greatest growth of the fetus and culminates in labor and delivery, with the average fetus growing about 1 inch (2.5 cm) per week during this trimester.']","The second trimester is the period that exhibits the greatest growth of the fetus and culminates in labor and delivery, with the average fetus growing about 1 inch (2.5 cm) per week during this trimester.",0.5057270057896254,0.06060606060606061,0.12121212121212122,1,5
sciq_0003,What is part of a large fungus that lives underground?,science,"['Arbuscules are part of a large fungus that lives underground.', 'The part of a large fungus that lives underground is a mycelium, which is a vast network of fine, branching filaments that connect the fungus to its surroundings and break down organic matter. The mycelium can extend for hundreds or even thousands of feet underground, allowing the fungus to absorb nutrients from the soil.', 'The answer is mycelium, which is a vast network of branching, interconnected fungal hyphae that live underground. It is a key component of the mycorrhizal network, a symbiotic relationship between fungi and plant roots that helps to absorb nutrients from the soil.', 'The part of a large fungus that lives underground is the mycelium.', 'The part of a large fungus that lives underground is a mycelium.']",The part of a large fungus that lives underground is the mycelium.,0.44814486326681446,0.0,0.0,1,5
sciq_0004,The interaction between atomic orbitals is greatest when they have the same what?,science,"['The interaction between atomic orbitals is greatest when they have the same **bonding**.', 'The interaction between atomic orbitals is greatest when they have the same **principal quantum number** (n).', 'The interaction between atomic orbitals is greatest when they have the same energy level.', 'The interaction between atomic orbitals is greatest when they have the same energy level (or principal quantum number).', 'The interaction between atomic orbitals is greatest when they have the same **magnitude**.']",The interaction between atomic orbitals is greatest when they have the same energy level.,0.8222743118395293,0.15384615384615385,0.0,0,5
sciq_0005,What is the general name for a group of atoms derived from an alkane?,science,"['The general name for a group of atoms derived from an alkane is a hydrocarbon.', 'The general name for a group of atoms derived from an alkane is a molecule of a hydrocarbon.', 'A general name for a group of atoms derived from an alkane is a molecule of an alkyl group, which is also known as an alkyl chain.', 'The general name for a group of atoms derived from an alkane is a molecule of a hydrocarbon, specifically a saturated hydrocarbon.', 'The general name for a group of atoms derived from an alkane is a molecule of a hydrocarbon.']",The general name for a group of atoms derived from an alkane is a molecule of a hydrocarbon.,0.8126664950955013,0.13333333333333336,0.13333333333333336,1,5
sciq_0006,What is one thing that cell membranes are permeable to?,science,"['Cell membranes are permeable to water and ions (such as sodium and potassium) but not proteins.', 'Cell membranes are permeable to water.', 'Cell membranes are permeable to water. They allow water molecules to pass through, which is essential for various cellular processes such as osmoregulation and maintaining cell volume.', 'Cell membranes are permeable to water. They allow water to pass through, but not nutrients and waste products.', 'Cell membranes are permeable to water. They allow water molecules to pass through the membrane, but not other substances like ions and small molecules.']","Cell membranes are permeable to water. They allow water to pass through, but not nutrients and waste products.",0.5153206036079319,0.0,0.10526315789473684,1,5
sciq_0007,What evolutionary process has adapted protonephridia to different tasks in different environments?,science,"['Protonephridia, a type of social parasitoid wasp, have evolved to adapt to different tasks in different environments through a process called ""specialization"" or ""niche partitioning."" Some protonephridia are specialized for nectar-feeding, while others are adapted for laying eggs, while', 'Protonephridia, also known as apolycerate protonephridia, are a group of protists that have evolved to adapt to different tasks in various environments through the process of convergent evolution. In different environments, protonephridia have developed distinct morphological and physiological traits, such as', 'Protonephridia are a type of flatworm that have evolved to adapt to different tasks in different environments, such as the ability to move through tight spaces, feed on detritus, or burrow into sediment. They have developed different body structures, such as modified setae (bristles) for crawling,', 'Protonephridia, a type of flatworm, have evolved to adapt to different tasks in various environments by changing the number of nephridia (a type of excretory organ), specifically the development and number of nephridia. In environments with high salt concentrations, protonephridia often have reduced', 'Protonephridia, a type of insect, have evolved to adapt to different tasks in various environments through a process called ""deuterostomy,"" where they have lost both their kidneys, leading to the development of protonephridia, which are simple, non-functional organs that lack kidneys but still play crucial']","Protonephridia, also known as apolycerate protonephridia, are a group of protists that have evolved to adapt to different tasks in various environments through the process of convergent evolution. In different environments, protonephridia have developed distinct morphological and physiological traits, such as",0.41602914399162466,0.0,0.0,1,5
sciq_0008,Melting ice is drastically impacting the number of what at glacier national park?,science,"[""The melting of ice at Glacier National Park is drastically impacting the number of wildlife, such as moose, bison, and caribou, as well as the park's unique alpine lakes and meadows."", 'Melting ice at Glacier National Park is drastically impacting the number of alpine lakes and meadows, causing them to shrink and disappear, which in turn affects the habitats of plants and animals that rely on these areas.', 'Melting ice is drastically impacting the number of alpine lakes at Glacier National Park.', 'Melting ice is drastically impacting the number of alpine lakes at Glacier National Park.', ""Melting ice is drastically impacting the number of Glacier National Park's lakes and rivers due to changes in water levels, but specifically, it's affecting the lake levels at Lake McDonald, Lake Josephine, and Lake McDonald's tributaries.""]",Melting ice is drastically impacting the number of alpine lakes at Glacier National Park.,0.5711668470418472,0.0,0.0,1,5
sciq_0009,Where do mushrooms get their energy?,science,"['Mushrooms get their energy from a combination of sources, including the sun, which provides the carbon dioxide and water vapor necessary for photosynthesis. They also obtain energy from decomposing organic matter, such as dead plants and animals, which is rich in nutrients.', 'Mushrooms obtain their energy from the sun, just like plants, and typically grow in symbiosis with fungi, which provide nutrients in the form of organic matter and water. The mycelium, the vegetative part of the fungus, breaks down and absorbs nutrients from the surrounding environment, including organic matter and microorganisms', 'Mushrooms get their energy from the energy stored in the food they absorb from their surroundings, specifically from the organic matter they break down through a process called saprotrophy, where they use enzymes to break down complex molecules into simpler ones, which are then used as energy. This process is often referred to as ""photos', 'Mushrooms get their energy from the sun, specifically from the energy stored in the heat and light of the sun through a process called photosynthesis. They use this energy to produce glucose and oxygen, which are the primary nutrients that support their growth and survival.', 'Mushrooms get their energy from the food they consume, typically through a process called photosynthesis, where they absorb carbon dioxide and water from the air and convert them into glucose, a type of sugar, using energy from the sun. This process is made possible by the presence of chlorophyll, a green pigment found']","Mushrooms get their energy from the sun, specifically from the energy stored in the heat and light of the sun through a process called photosynthesis. They use this energy to produce glucose and oxygen, which are the primary nutrients that support their growth and survival.",0.36481156680828813,0.0,0.0,1,5
