qid,question,label,hallucination_probability,predicted_label,generated_answer,category,mean_logprob,min_logprob,mean_entropy,correct_prediction
sciq_0064,Soap acts as what kind of agent between grease and water?,1,0.220140142711796,0,Soap acts as an emulsifier between grease and water.,science,-0.0835174190785134,-0.4512316584587097,0.2569553309585899,False
sciq_0070,What organs are considered the female gonads?,1,0.265573163652508,0,The ovaries and uterus are considered the female gonads.,science,-0.1330175027324003,-0.491979718208313,0.4329780332072251,False
sciq_0004,The interaction between atomic orbitals is greatest when they have the same what?,1,0.2741451825636922,0,The interaction between atomic orbitals is greatest when they have the same orientation.,science,-0.115798722337278,-0.5881920456886292,0.3696437434732312,False
sciq_0001,What do charged particles in motion generate?,1,0.2962066807627615,0,Charged particles in motion generate electromagnetic fields.,science,-0.1640537918477397,-0.615268349647522,0.4221230665829757,False
sciq_0122,Corrosion is usually defined as the degradation of metals due to what?,1,0.3118808321726249,0,Corrosion is usually defined as the degradation of metals due to chemical reactions with their environment.,science,-0.104129392245532,-0.7651748657226562,0.3463601115865075,False
sciq_0085,What term is used to describe  is the spontaneous emission of particles and radiation from atomic nuclei?,1,0.3562611661098923,0,The term used to describe this phenomenon is radioactive decay.,science,-0.2134937030628365,-0.7048423290252686,0.5657671776769514,False
sciq_0078,"What nervous system is divided into two parts, the sensory division and the motor division?",1,0.3714398203613053,0,The autonomic nervous system is divided into two parts: the sensory division and the motor division.,science,-0.1561090309530396,-0.9636970162391664,0.3489727076337562,False
sciq_0041,Water can be broken down into hydrogen and oxygen gases by the addition of what?,1,0.4326550688955015,0,Electrolysis with electricity is used to break water down into hydrogen and oxygen gases.,science,-0.213760174427888,-1.0065377950668335,0.5258305131477149,False
sciq_0197,What does the term decay in chemistry refer to with regards to atoms?,1,0.4382165964229664,0,"Decay in chemistry refers to the process by which an unstable atomic nucleus emits particles or energy, leading to the transformation of one element into another.",science,-0.2914757735388452,-0.8681237101554871,0.6764247262854669,False
sciq_0049,What 3 things do animals need to live and survive?,1,0.4581156415138285,0,"Animals require food for energy, water for hydration, and shelter from their environment.",science,-0.2508137031074816,-1.0075559616088867,0.6100764195849104,False
