qid,semantic_entropy,semantic_majority_answer,label
sciq_0000,-0.0,"The term that means the set of processes by which metals are extracted from their ores and converted to more useful forms is ""metallurgy.""",0
sciq_0001,-0.0,Charged particles in motion generate electromagnetic fields and radiation.,1
sciq_0002,-0.0,"The third trimester of pregnancy, which is the final 3 months (20-36 weeks), exhibits the greatest growth of the fetus and culminates in labor and delivery.",0
sciq_0003,-0.0,A large fungus that lives underground is part of a mycelium.,1
sciq_0004,-0.0,The interaction between atomic orbitals is greatest when they have the same energy.,1
sciq_0005,-0.0,The general name for a group of atoms derived from an alkane is an alkene.,1
sciq_0006,-0.0,One thing that cell membranes are permeable to is water molecules.,1
sciq_0007,-0.0,"The evolutionary process has adapted protonephridia to different tasks in different environments through variations in their structure, function, and location within organisms.",0
sciq_0008,-0.0,Melting ice at Glacier National Park is drastically impacting the number of glaciers.,0
sciq_0009,-0.0,"Mushrooms obtain their energy from organic matter, such as decaying plant and animal matter, through a process called decomposition.",0
sciq_0010,-0.0,"Greenhouse gasses trap heat in the troposphere, the lowest layer of the atmosphere.",1
sciq_0011,-0.0,The lens and other parts of the eye work together to focus a real image on the retina.,0
sciq_0012,-0.0,Reacting with metal is one characteristic that distinguishes acids from bases.,0
sciq_0013,0.6730116670092565,"Septa is found in the cells of certain sponges, where it is a structural element that helps to support the sponge's body.",1
sciq_0014,-0.0,"The branch of science that explains much of what you observe and do in your daily life is physics, which studies the fundamental nature of matter, energy, and the behavior of physical systems.",1
sciq_0015,-0.0,The theory that states there is no interaction between individual gas particles is the Ideal Gas Law.,0
sciq_0016,-0.0,"Most mammals are viviparous, meaning they give birth to live young instead of laying eggs.",1
sciq_0017,-0.0,"Toxins and poisons can inhibit enzymes, which can disrupt normal cellular functions.",1
sciq_0018,-0.0,"The first seed plants formed seeds through a process involving the development of sporangia, which are structures that produce spores, and the maturation of those spores into seeds. Over time, these sporangia evolved to produce seeds as a more reliable method of reproduction.",1
sciq_0019,-0.0,"A thermite reaction is thermodynamically spontaneous and associated with a significant release of heat, making it considered an exothermic reaction.",0
sciq_0020,-0.0,"The right and left hip bones, with the addition of the sacrum and coccyx, form the pelvis section of the human skeleton.",0
sciq_0021,-0.0,Organs involved in digestion that do not have food passing through them are called exocrine glands.,0
sciq_0022,-0.0,"Sponges exemplify a type of multicellular organization where different cells are specialized for different functions, but each cell works independently.",0
sciq_0023,-0.0,"The skeletons of most organic molecules are formed from carbon, hydrogen, oxygen, and nitrogen atoms.",0
sciq_0024,-0.0,"A lunar eclipse occurs when a full moon moves through Earth's shadow, causing the moon to darken and sometimes appear reddish.",0
sciq_0025,-0.0,Enzymes can catalyze up to several million reactions per second.,0
sciq_0026,-0.0,The lithosphere is divided into a dozen major and several minor tectonic plates.,0
sciq_0027,-0.0,The energy required to remove an electron from a gaseous atom is called the ionization energy.,0
sciq_0028,-0.0,"The substance that forms igneous rock when it flows out in rivers of lava is molten rock, specifically lava.",0
