qid,question,category,generated_answer,num_new_tokens,mean_logprob,min_logprob,mean_entropy,correct_sim,incorrect_sim,label,llm_calls,semantic_correct_sim,semantic_incorrect_sim,semantic_label
sciq_0000,What term means the set of processes by which metals are extracted from their ores and converted to more useful forms?,science,The term that means the set of processes by which metals are extracted from their ores and converted to more useful forms is metallurgy.,26,-0.0660454409448728,-0.8816469311714172,0.1622487658374806,0.0869565217391304,0.0,0,1,0.6609585881233215,0.18782666325569153,0
sciq_0001,What do charged particles in motion generate?,science,Charged particles in motion generate electromagnetic waves.,10,-0.1397094760509382,-0.585920512676239,0.3529869701785514,0.0,0.0,1,1,0.34877532720565796,0.3211713135242462,0
sciq_0002,"During a human pregnancy, which trimester exhibits the greatest growth of the fetus and culminates in labor and delivery?",science,"The third trimester of human pregnancy exhibits the greatest growth of the fetus, culminating in labor and delivery.",20,-0.1644969377339293,-0.9681828022003174,0.3550708909286186,0.2352941176470588,0.1176470588235294,0,1,0.7630759477615356,0.5941242575645447,0
sciq_0003,What is part of a large fungus that lives underground?,science,A part of a large fungus that lives underground is the mycelium.,15,-0.1872793322792859,-1.206342101097107,0.418845438134546,0.0,0.0,1,1,0.480615496635437,0.409702330827713,0
sciq_0004,The interaction between atomic orbitals is greatest when they have the same what?,science,The interaction between atomic orbitals is greatest when they have the same energy.,15,-0.0891459213443605,-0.8526843786239624,0.3032297912309029,0.1666666666666666,0.0,0,1,0.29185786843299866,0.12930656969547272,0
sciq_0005,What is the general name for a group of atoms derived from an alkane?,science,The general name for a group of atoms derived from an alkane is an alkene.,18,-0.088771477379497,-0.5463003516197205,0.1996104564184659,0.1538461538461538,0.1538461538461538,1,1,0.458141565322876,0.38367605209350586,0
sciq_0006,What is one thing that cell membranes are permeable to?,science,One thing that cell membranes are permeable to is water.,11,-0.1587049915072963,-0.6340203285217285,0.3713101029226726,0.0,0.0,1,1,0.17130166292190552,0.29714474081993103,1
sciq_0007,What evolutionary process has adapted protonephridia to different tasks in different environments?,science,The evolutionary process that has adapted protonephridia to different tasks in different environments is adaptation.,19,-0.2866214861519677,-1.7776035070419312,0.5857791436600995,0.0,0.0,1,1,0.3336947560310364,0.27945730090141296,0
sciq_0008,Melting ice is drastically impacting the number of what at glacier national park?,science,Melting ice is drastically impacting the number of glaciers at Glacier National Park.,15,-0.1808785387809621,-0.882840633392334,0.5672143865842372,0.1428571428571428,0.0,0,1,0.5780037045478821,0.35770148038864136,0
sciq_0009,Where do mushrooms get their energy?,science,"Mushrooms obtain their energy from decomposing organic matter, such as dead plants and animals, through a process called saprotrophy.",27,-0.2289631951872648,-0.9048340320587158,0.5800394191625216,0.1904761904761905,0.0952380952380952,0,1,0.4981031119823456,0.47380971908569336,0
sciq_0010,Which part of the atmosphere do greenhouse gasses trap heat in?,science,Greenhouse gasses trap heat in the lower atmosphere.,10,-0.2473965625044911,-0.7379223704338074,0.50289823901403,0.0,0.0,1,1,0.47856685519218445,0.569216251373291,1
sciq_0011,The lens and other parts of the eye work together to focus a real image on what eye structure?,science,The lens and other parts of the eye work together to focus a real image on the retina.,19,-0.0536556470065797,-0.4715652465820312,0.159437708843095,0.1333333333333333,0.0,0,1,0.5482689738273621,0.3192284107208252,0
sciq_0012,Reacting with metal is one thing that distinguishes acids from what?,science,"Reacting with metal is one distinguishing feature of acids, as opposed to bases.",16,-0.3919872234649801,-0.944359302520752,0.9581981298615574,0.1428571428571428,0.0,0,1,0.4234273135662079,0.42712944746017456,1
sciq_0013,What takes place where septa is found?,science,"Septa is found in the cells of the human body, particularly in the walls of blood vessels, where it plays a crucial role in the structure and function of the circulatory system.",36,-0.4976361923424217,-2.205054759979248,1.3450809932158638,0.1333333333333333,0.1333333333333333,1,1,0.20783622562885284,0.2551194131374359,1
