qid,question,category,sampled_answers,representative_answer,agreement_score,correct_sim,incorrect_sim,label,llm_calls
sciq_0000,What term means the set of processes by which metals are extracted from their ores and converted to more useful forms?,science,"['The term is smelting.', 'The term for this process is metallurgy.', 'The term that refers to the process of extracting metals from ore and converting them into useful forms is metallurgy.', 'The term is ""mining process.""', 'The term that means the set of processes by which metals are extracted from their ores and converted to more useful forms is metallurgy.']","The term is ""mining process.""",0.34905416805416806,0.0,0.0,1,5
sciq_0001,What do charged particles in motion generate?,science,"['Charged particles in motion generate electromagnetic fields.', 'Charged particles in motion generate electromagnetic radiation such as light or radio waves.', 'Charged particles in motion generate electromagnetic radiation such as light.', 'Charged particles in motion generate electromagnetic fields.', 'Charged particles in motion generate electromagnetic waves, including light.']",Charged particles in motion generate electromagnetic fields.,0.7445444755809542,0.22222222222222224,0.22222222222222224,1,5
sciq_0002,"During a human pregnancy, which trimester exhibits the greatest growth of the fetus and culminates in labor and delivery?",science,"['The third trimester exhibits the greatest growth of the fetus and culminates in labor and delivery.', 'The third trimester exhibits the greatest growth of the fetus and culminates in labor and delivery.', 'The second trimester exhibits the greatest growth of the fetus and culminates in labor and delivery.', 'The third trimester exhibits the greatest growth of the fetus and culminates in labor and delivery.', 'The second trimester is when the greatest fetal growth occurs and culminates in labor and delivery.']",The third trimester exhibits the greatest growth of the fetus and culminates in labor and delivery.,0.8509971509971509,0.2666666666666667,0.13333333333333336,0,5
sciq_0003,What is part of a large fungus that lives underground?,science,"['Hyphae are part of a large fungus that lives underground.', 'Hyphae, which form extensive networks underground.', 'Part of a large fungus living underground includes mycelium networks.', 'Hyphae.', 'Mycelium is part of a large fungus that lives underground.']",Hyphae are part of a large fungus that lives underground.,0.3152380952380952,0.0,0.0,1,5
sciq_0004,The interaction between atomic orbitals is greatest when they have the same what?,science,"['The interaction between atomic orbitals is greatest when they have the same spin.', 'The interaction between atomic orbitals is greatest when they have the same orientation.', 'The interaction between atomic orbitals is greatest when they have the same orientation.', 'The interaction between atomic orbitals is greatest when they have the same spin.', 'The interaction between atomic orbitals is greatest when they have the same orientation.']",The interaction between atomic orbitals is greatest when they have the same orientation.,0.9454545454545455,0.0,0.0,1,5
sciq_0005,What is the general name for a group of atoms derived from an alkane?,science,"['A general name for a group of atoms derived from an alkane is an alkyl group.', 'A general name for a group of atoms derived from an alkane is an alkyl group.', 'A general name for a group of atoms derived from an alkane is an alkyl group.', 'A general name for a group of atoms derived from an alkane is a hydrocarbon group.', 'A general name for a group of atoms derived from an alkane is an alkyl group.']",A general name for a group of atoms derived from an alkane is an alkyl group.,0.9666666666666666,0.2857142857142857,0.14285714285714285,0,5
sciq_0006,What is one thing that cell membranes are permeable to?,science,"['One thing that cell membranes are permeable to is small molecules such as oxygen and carbon dioxide for gas exchange.', 'One thing that cell membranes are permeable to is small molecules like water and ions.', 'One thing that cell membranes are permeable to is small molecules such as water and oxygen.', 'Cell membranes are permeable to small molecules like water, oxygen, and carbon dioxide.', 'One thing that cell membranes are permeable to is water.']",One thing that cell membranes are permeable to is small molecules such as water and oxygen.,0.7119334749498699,0.0,0.0,1,5
sciq_0007,What evolutionary process has adapted protonephridia to different tasks in different environments?,science,"['The evolution of protonephridia involves specialization for specific functions based on environmental needs, such as nitrogen excretion and osmoregulation.', 'Protonephridia evolved as an adaptive trait that allows for efficient waste removal and excretion under various environmental conditions through specialized functions such as filtration and absorption.', 'Protonephridia have evolved through modification of the primitive gut into specialized excretory systems that can adapt to various environmental needs.', 'The evolution of protonephridia involves their adaptation to various functions in response to environmental pressures.', 'The evolution of protonephridia, which allows for more efficient waste removal compared to simpler systems, enables organisms to adapt their functions according to environmental needs.']","The evolution of protonephridia, which allows for more efficient waste removal compared to simpler systems, enables organisms to adapt their functions according to environmental needs.",0.31961475383183724,0.0,0.0,1,5
sciq_0008,Melting ice is drastically impacting the number of what at glacier national park?,science,"['Melting ice is dramatically altering the ecosystem by affecting the species that depend on glaciers for habitat and resources.', 'Melting ice is drastically affecting the number of glaciers in Glacier National Park.', 'Melting ice is drastically affecting the number of glaciers in Glacier National Park.', 'Melting ice is drastically impacting the number of glaciers at Glacier National Park.', 'Melting ice is drastically affecting the number of glaciers at Glacier National Park.']",Melting ice is drastically affecting the number of glaciers in Glacier National Park.,0.6727011494252875,0.14285714285714285,0.0,0,5
sciq_0009,Where do mushrooms get their energy?,science,"['Mushrooms obtain their energy through photosynthesis from sunlight absorbed by chlorophyll in their cells.', 'Mushrooms obtain their energy from absorbing nutrients through their mycelium network from the surrounding environment, primarily breaking down organic matter.', 'Mushrooms obtain their energy from organic matter through decomposition or parasitism.', 'Mushrooms obtain their energy from decomposing organic matter through a symbiotic relationship with mycorrhizal fungi.', 'Mushrooms obtain energy through photosynthesis from sunlight and organic matter absorbed by their hyphae network.']",Mushrooms obtain energy through photosynthesis from sunlight and organic matter absorbed by their hyphae network.,0.5377171361430996,0.0,0.0,1,5
