qid,question,category,generated_answer,num_new_tokens,mean_logprob,min_logprob,mean_entropy,correct_sim,incorrect_sim,label,llm_calls,semantic_correct_sim,semantic_incorrect_sim,semantic_label
sciq_0000,What term means the set of processes by which metals are extracted from their ores and converted to more useful forms?,science,The term that means the set of processes by which metals are extracted from their ores and converted to more useful forms is smelting.,27,-0.1310791979450456,-1.445284724235535,0.3275652241432841,0.0,0.0,1,1,0.5044909715652466,0.18665513396263123,0
sciq_0001,What do charged particles in motion generate?,science,Charged particles in motion generate an electric field.,10,-0.2486070225422736,-0.9985828399658204,0.5809022764326073,0.0,0.0,1,1,0.3854953348636627,0.3971707224845886,1
sciq_0002,"During a human pregnancy, which trimester exhibits the greatest growth of the fetus and culminates in labor and delivery?",science,"The second trimester, specifically the second trimester of 13-26 weeks of gestation, is the period with the greatest growth of the fetus and culminates in labor and delivery.",39,-0.3098906104385238,-1.3173892498016355,0.6777032315725918,0.0769230769230769,0.1538461538461538,1,1,0.6023958921432495,0.7820190191268921,1
sciq_0003,What is part of a large fungus that lives underground?,science,The part of a large fungus that lives underground is called a mycelium.,16,-0.2389349987887499,-1.1924431324005127,0.6322038418002194,0.0,0.0,1,1,0.4654644727706909,0.3828052282333374,0
sciq_0004,The interaction between atomic orbitals is greatest when they have the same what?,science,The interaction between atomic orbitals is greatest when they have the same principal quantum number (n).,19,-0.1231652196414583,-1.1285526752471924,0.3346056082978305,0.0,0.0,1,1,0.0842008888721466,0.05437910556793213,0
sciq_0005,What is the general name for a group of atoms derived from an alkane?,science,The general name for a group of atoms derived from an alkane is a molecule of an alkane.,21,-0.2282982740314418,-1.3406535387039185,0.5821985700015266,0.1333333333333333,0.1333333333333333,1,1,0.43254515528678894,0.4182007908821106,0
sciq_0006,What is one thing that cell membranes are permeable to?,science,"Cell membranes are permeable to water. They allow water to pass through, but not other substances, due to the presence of specific transport proteins that control the movement of molecules in and out of the cell.",41,-0.4282196194266273,-1.5178312063217163,1.027367875403753,0.0571428571428571,0.0,0,1,0.14103028178215027,0.18685004115104675,1
sciq_0007,What evolutionary process has adapted protonephridia to different tasks in different environments?,science,"Protonephridia, a type of parasitic wasp, have evolved to adapt to different tasks in different environments through various physiological and morphological changes, such as the development of different types of mouthparts, such as forceps, hooks, and claws, to capture and manipulate prey, and the presence of specialized",64,-0.599337929375892,-2.727791309356689,1.480916612126293,0.0,0.0,1,1,0.1833266168832779,0.1924349069595337,1
sciq_0008,Melting ice is drastically impacting the number of what at glacier national park?,science,"Melting ice at Glacier National Park is drastically impacting the number of the park's glaciers. The melting of glaciers is causing the park's glaciers to shrink, which in turn is affecting the park's hydroelectric power generation, water supply, and overall ecosystem.",51,-0.5960665678135496,-1.795353889465332,1.5051991267074996,0.048780487804878,0.0,0,1,0.42777392268180847,0.25060033798217773,0
sciq_0009,Where do mushrooms get their energy?,science,"Mushrooms get their energy from the sun, as they are photosynthetic organisms that use sunlight to convert carbon dioxide and water into glucose and oxygen through a process called photosynthesis. This process occurs in specialized organelles called chloroplasts, which are present in the mushroom's cells.",59,-0.3018335732790624,-1.7383804321289062,0.670951402160858,0.0434782608695652,0.0444444444444444,1,1,0.25770148634910583,0.31510788202285767,1
