qid,semantic_entropy,semantic_majority_answer,label
sciq_0000,0.6730116670092565,The term that best describes the set of processes by which metals are extracted from their ores and converted to more useful forms is mineral processing.,1
sciq_0001,-0.0,"Charged particles in motion, such as electrons and protons, generate an electric field. This electric field is a region around the charged particles where the force of attraction or repulsion is present due to the interaction with other charged particles.",1
sciq_0002,-0.0,"The second trimester, from approximately 28 to 32 weeks of gestation, is the period with the greatest growth of the fetus and culminates in labor and delivery. During this trimester, the fetus grows rapidly, and the fetus's organs and body systems mature, preparing for life outside the womb.",1
sciq_0003,0.5004024235381879,"The part of a large fungus that lives underground is a mycelium, which is a vast network of fine, branching filaments that connect the fungus to its surroundings and break down organic matter. The mycelium can extend for hundreds or even thousands of feet underground, allowing the fungus to absorb nutrients from the soil.",1
sciq_0004,-0.0,The interaction between atomic orbitals is greatest when they have the same **bonding**.,0
sciq_0005,-0.0,The general name for a group of atoms derived from an alkane is a hydrocarbon.,1
sciq_0006,0.5004024235381879,Cell membranes are permeable to water and ions (such as sodium and potassium) but not proteins.,1
sciq_0007,1.3321790402101223,"Protonephridia are a type of flatworm that have evolved to adapt to different tasks in different environments, such as the ability to move through tight spaces, feed on detritus, or burrow into sediment. They have developed different body structures, such as modified setae (bristles) for crawling,",1
sciq_0008,0.5004024235381879,"The melting of ice at Glacier National Park is drastically impacting the number of wildlife, such as moose, bison, and caribou, as well as the park's unique alpine lakes and meadows.",1
sciq_0009,-0.0,"Mushrooms get their energy from a combination of sources, including the sun, which provides the carbon dioxide and water vapor necessary for photosynthesis. They also obtain energy from decomposing organic matter, such as dead plants and animals, which is rich in nutrients.",1
sciq_0010,-0.0,"The greenhouse gases trap heat in the troposphere, which is the lowest layer of the atmosphere, extending up to about 12 kilometers (7.5 miles) above the Earth's surface.",0
sciq_0011,-0.0,"The lens and other parts of the eye work together to focus a real image on the retina, which is the light-sensitive tissue at the back of the eye.",0
sciq_0012,0.5004024235381879,"Acids are distinguished from bases by their reaction with metal, which typically results in the formation of a salt and hydrogen gas. In particular, acids react with metals to produce hydrogen gas, while bases react with metals to produce hydroxide ions.",1
sciq_0013,1.6094379124341005,"Septa is a type of robot that appears in the animated television series ""Futurama.""",1
sciq_0014,-0.0,The branch of science that explains much of what I observe and do in my daily life is physics.,1
sciq_0015,-0.0,The theory that states there is no interaction between individual gas particles is the kinetic molecular theory of gases.,0
sciq_0016,-0.0,"Viviparous mammals are mammals that give birth to live young, as opposed to oviparous mammals, which lay eggs.",1
sciq_0017,-0.0,"Toxins and poisons are inhibitors of certain enzymes, particularly those involved in the detoxification process. They disrupt the normal functioning of these enzymes, leading to the accumulation of toxic substances in the body.",1
sciq_0018,1.3321790402101223,"The first seed plants, also known as angiosperms, are thought to have formed around 130 million years ago during the Cretaceous period, likely as a result of a process called endosymbiosis, where a single-celled organism, possibly a cyanobacterium, engulfed and integrated with an algae",1
sciq_0019,-0.0,"A thermite reaction is thermodynamically spontaneous because it releases a large amount of heat, which is regarded as exothermic.",0
sciq_0020,-0.0,"The right and left hip bones, with the addition of the sacrum and coccyx, form the pelvis.",0
sciq_0021,-0.0,"The digestive organs that do not have food pass through them are called the ""mucosa"" of the gut.",1
sciq_0022,-0.0,"Sponges exemplify a simple multicellular, eukaryotic arrangement where different cells are specialized for different functions, and each cell works alone. In sponges, different types of cells are specialized for different roles, such as filtering, digestion, and reproduction, and each cell performs its specific function without direct interaction",0
sciq_0023,-0.0,"The skeletons of most organic molecules, such as carbohydrates, fats, and proteins, are composed of carbon, hydrogen, and oxygen atoms.",0
sciq_0024,0.5004024235381879,"A lunar eclipse occurs when the Earth, Moon, and Sun are aligned, and the Moon passes through the Earth's umbra, or dark shadow, on the Earth's surface.",0
sciq_0025,-0.0,Enzymes can catalyze up to several million reactions per second.,0
sciq_0026,-0.0,The lithosphere is divided into a dozen major and several minor plates.,0
sciq_0027,-0.0,The energy required to remove an electron from a gaseous atom is called ionization energy.,0
sciq_0028,0.5004024235381879,"I am unsure about the specific substance that forms igneous rock that flows out in rivers of lava when it reaches the surface, but I can tell you that it is typically magma.",0
sciq_0029,0.9502705392332347,"The process of keeping eggs warm for incubation is called thermogenesis, which is a specialized metabolic process that birds, reptiles, and some mammals produce to maintain a stable internal temperature for the developing embryo. This process involves the production of heat from metabolic activities, such as shivering, to keep the embryo warm.",0
sciq_0030,0.5004024235381879,"The lancelet lacks gills, which are a key characteristic that distinguishes vertebrates from other invertebrates.",1
sciq_0031,-0.0,"The smallest structural and functional unit of all living organisms is considered to be the cell. Cells are the basic building blocks of all living things, and they consist of a plasma membrane, cytoplasm, and various organelles such as mitochondria, ribosomes, and a nucleus, which work together to carry out essential",1
sciq_0032,-0.0,Population size is the total number of individuals of a species in a given area at a specific point in time.,0
sciq_0033,-0.0,"Jupiter reflects a lot of solar energy due to its massive size, with its cloud tops reflecting about 95% of the sunlight that hits it, while the planet's atmosphere is mostly composed of hydrogen and helium gases, which absorb and re-emit much of the light that is reflected back to space.",0
