qid,question,category,generated_answer,num_new_tokens,mean_logprob,min_logprob,mean_entropy,correct_sim,incorrect_sim,label,llm_calls,semantic_correct_sim,semantic_incorrect_sim,semantic_label
sciq_0000,What term means the set of processes by which metals are extracted from their ores and converted to more useful forms?,science,The term that describes this process is metallurgy.,10,-0.297511730575934,-0.6527019739151001,0.7471188608556986,0.25,0.0,0,1,0.746741771697998,0.29935893416404724,0
sciq_0001,What do charged particles in motion generate?,science,Charged particles in motion generate electromagnetic fields.,9,-0.1640537918477397,-0.615268349647522,0.4221230665829757,0.2222222222222222,0.2222222222222222,1,1,0.4674765467643738,0.34420841932296753,0
sciq_0002,"During a human pregnancy, which trimester exhibits the greatest growth of the fetus and culminates in labor and delivery?",science,The third trimester exhibits the greatest growth of the fetus and culminates in labor and delivery.,20,-0.0790106100502271,-0.5309075117111206,0.2360179972438345,0.2666666666666667,0.1333333333333333,0,1,0.8103745579719543,0.6226863265037537,0
sciq_0003,What is part of a large fungus that lives underground?,science,Hyphae are part of a large fungus that lives underground.,13,-0.2292303287999507,-1.1685094833374023,0.5313335986485561,0.0,0.0,1,1,0.4056720435619354,0.38597676157951355,0
sciq_0004,The interaction between atomic orbitals is greatest when they have the same what?,science,The interaction between atomic orbitals is greatest when they have the same orientation.,15,-0.115798722337278,-0.5881920456886292,0.3696437434732312,0.0,0.0,1,1,0.05343048274517059,0.05774249881505966,1
sciq_0005,What is the general name for a group of atoms derived from an alkane?,science,A general name for a group of atoms derived from an alkane is an alkyl group.,19,-0.0559055700447827,-0.3176511824131012,0.2116203845025187,0.2857142857142857,0.1428571428571428,0,1,0.6666564345359802,0.45899781584739685,0
sciq_0006,What is one thing that cell membranes are permeable to?,science,One thing that cell membranes are permeable to is small molecules like water and oxygen.,17,-0.1921274413232501,-0.8336162567138672,0.5165448946251726,0.0,0.0,1,1,0.16407567262649536,0.24217404425144196,1
sciq_0007,What evolutionary process has adapted protonephridia to different tasks in different environments?,science,The evolution of protonephridia allowed for specialization in different organisms by adapting their functions based on environmental needs.,23,-0.5820868630840066,-1.6453542709350586,1.4062209140551123,0.0,0.0,1,1,0.255050927400589,0.2634620666503906,1
sciq_0008,Melting ice is drastically impacting the number of what at glacier national park?,science,Melting ice is dramatically altering the ecosystem by affecting plant growth and animal habitats within Glacier National Park.,20,-0.5689580785732687,-1.5250792503356934,1.1791665966778964,0.0,0.0,1,1,0.4283590018749237,0.2899622917175293,0
sciq_0009,Where do mushrooms get their energy?,science,Mushrooms obtain their energy from organic matter through decomposition of dead plant material.,16,-0.5119731474233049,-1.4117352962493896,1.029275684748427,0.125,0.125,1,1,0.5499823093414307,0.5300637483596802,0
sciq_0010,Which part of the atmosphere do greenhouse gasses trap heat in?,science,"Greenhouse gases trap heat in the lower portion of the atmosphere, specifically between the Earth's surface and about 20 kilometers above it.",28,-0.2540058864927102,-0.9176311492919922,0.5972045895344179,0.0,0.0,1,1,0.45477429032325745,0.5282933115959167,1
sciq_0011,The lens and other parts of the eye work together to focus a real image on what eye structure?,science,The lens and other parts of the eye work together to focus a real image on the retina.,19,-0.0669668924438156,-0.585691511631012,0.2079415800529348,0.1333333333333333,0.0,0,1,0.5482689738273621,0.3192284107208252,0
sciq_0012,Reacting with metal is one thing that distinguishes acids from what?,science,Acids react with metals to release hydrogen gas.,10,-0.3450993287202436,-0.9347075819969176,0.7417529567610472,0.0,0.2222222222222222,1,1,0.15625455975532532,0.43948182463645935,1
sciq_0013,What takes place where septa is found?,science,"Septa take place within cells, specifically in the cytoplasm.",14,-0.7794899492120878,-1.5776808261871338,1.7447226386032395,0.1666666666666666,0.1666666666666666,1,1,0.3530021905899048,0.327985554933548,0
sciq_0014,What branch of science explains much of what you observe and do in your daily life?,science,Physics explains much of what you observe and do in your daily life.,14,-0.1570874103459313,-0.6197775602340698,0.4281039419833438,0.0,0.0,1,1,0.5239882469177246,0.40584272146224976,0
sciq_0015,What theory states that there is no interaction between individual gas particles?,science,The theory that states there is no interaction between individual gas particles is known as the kinetic molecular theory.,20,-0.26340844686747,-1.031855583190918,0.7286947003856767,0.2105263157894736,0.1052631578947368,0,1,0.590129017829895,0.2812874913215637,0
sciq_0016,"Most mammals are viviparous, which refers to what reproductive result?",science,Most mammals reproduce by giving birth to live young.,10,-0.2931034134002402,-0.8350656032562256,0.6183170447126031,0.3636363636363636,0.0,0,1,0.5587579011917114,0.30018293857574463,0
sciq_0017,Toxins and poisons are ______ enzyme inhibitos,science,Toxins and poisons inhibit enzymes.,9,-0.3523552993574412,-1.656904220581055,0.9403618292676078,0.0,0.0,1,1,-0.06961730867624283,0.10488174855709076,1
sciq_0018,How did the first seed plants form seeds?,science,The first seed plants formed seeds by developing specialized structures to protect their embryos from drying out during unfavorable conditions.,21,-0.683961435376356,-1.6155238151550293,1.530744798836254,0.0,0.0,1,1,0.048695486038923264,0.2619853913784027,1
sciq_0019,"A thermite reaction is thermodynamically spontaneous, and because it is associated with a significant release of heat, it is regarded as what?",science,It is considered an exothermic reaction.,9,-0.2837450051353395,-0.5636452436447144,0.7131662240095061,0.3333333333333333,0.0,0,1,0.7619096040725708,0.6297675371170044,0
sciq_0020,"The right and left hip bones, with the addition of the sacrum and coccyx form what section of the skeleton?",science,"The pelvis is formed by the right and left hip bones, along with the sacrum and coccyx.",23,-0.1645303581263642,-1.0120501518249512,0.4196610927356232,0.1333333333333333,0.0,0,1,0.6783504486083984,0.4021996259689331,0
sciq_0021,Organs involved in digestion that do not have food pass through them are called?,science,The organs involved in digestion that do not contain food are called the exocrine glands.,17,-0.2676186218467431,-1.0977232456207275,0.8546139394097468,0.1333333333333333,0.1333333333333333,1,1,0.3919526934623718,0.40686070919036865,1
sciq_0022,"Sponges exemplify what type of arrangement, where different cells are specialized for different functions, but each cell works alone?",science,"Sponges exemplify radial symmetry, where all cells work together to perform various functions without any specialization.",21,-0.5211335199448859,-1.6615227460861206,1.3191838145195065,0.0,0.0,1,1,0.47230809926986694,0.22613424062728882,0
sciq_0023,What form the skeletons of most organic molecules?,science,Most organic molecules are composed primarily of carbon atoms bonded together through covalent bonds.,17,-0.3383591457183202,-0.9716693162918092,0.8742044436071678,0.125,0.0,0,1,0.36250564455986023,0.3314536511898041,0
sciq_0024,What type of eclipse happens when a full moon moves through earth's shadow?,science,"A lunar eclipse occurs when a full moon passes through Earth's umbra, the darkest part of its shadow.",22,-0.1443933645906244,-0.552805483341217,0.4760693285233257,0.1176470588235294,0.0,0,1,0.5344095230102539,0.27497369050979614,0
sciq_0025,Enzymes can catalyze up to several million reactions per what?,science,Enzymes can catalyze up to several million reactions per second.,15,-0.0516168357880815,-0.552370548248291,0.2136022690528382,0.1818181818181818,0.0,0,1,0.08417697250843048,0.16042891144752502,1
