qid,question,category,generated_answer,label,correct_sim,incorrect_sim,mean_logprob,median_logprob,min_logprob,logprob_p10,logprob_p25,std_logprob,frac_low_confidence,mean_entropy,max_entropy,std_entropy,answer_length,mean_margin,min_margin,first_half_mean_logprob,second_half_mean_logprob,logprob_delta_second_minus_first,logprob_trend_slope
sciq_0000,What term means the set of processes by which metals are extracted from their ores and converted to more useful forms?,science,The term that means the set of processes by which metals are extracted from their ores and converted to more useful forms is smelting.,1,0.0,0.0,-0.13107919794504563,-0.0003736513026524335,-1.4452847242355347,-0.4007824718952179,-0.012743907514959574,0.3176643465051008,0.0,0.3275652241432841,3.0469164848327637,0.7033735309218719,27,0.0,0.0,-0.13994463112749145,-0.12284700998991736,0.017097621137574084,0.0012967411971277982
sciq_0001,What do charged particles in motion generate?,science,Charged particles in motion generate an electric field.,1,0.0,0.0,-0.24860702254227363,-0.09061106853187084,-0.9985828399658203,-0.6425107955932617,-0.3409985825419426,0.31497284833244305,0.0,0.5809022764326073,1.9479608535766602,0.594982985484291,10,0.0,0.0,-0.0349695083568804,-0.46224453672766685,-0.42727502837078646,-0.04372291013238611
sciq_0002,"During a human pregnancy, which trimester exhibits the greatest growth of the fetus and culminates in labor and delivery?",science,"The second trimester, specifically the second trimester of 13-26 weeks of gestation, is the period with the greatest growth of the fetus and culminates in labor and delivery.",1,0.0769230769230769,0.1538461538461538,-0.30989061043852384,-0.10028164088726044,-1.3173892498016357,-0.9733982563018798,-0.5126019418239594,0.3977523603154482,0.0,0.6777032315725918,2.104259490966797,0.7176752770490122,39,0.0,0.0,-0.4706795581052491,-0.15714111015513482,0.31353844795011426,0.014520240808457019
sciq_0003,What is part of a large fungus that lives underground?,science,The part of a large fungus that lives underground is called a mycelium.,1,0.0,0.0,-0.2389349987887499,-0.0148206134326756,-1.1924431324005127,-0.7645006775856018,-0.41426370292901993,0.3677952265623858,0.0,0.6322038418002194,2.903486967086792,0.943208743441014,16,0.0,0.0,-0.25382696333690546,-0.22404303424059435,0.029783929096311113,0.021059540032828224
sciq_0004,The interaction between atomic orbitals is greatest when they have the same what?,science,The interaction between atomic orbitals is greatest when they have the same principal quantum number (n).,1,0.0,0.0,-0.12316521964145834,-0.01401863805949688,-1.1285526752471924,-0.26180487871170044,-0.03840778395533562,0.2918708807319008,0.0,0.33460560829783054,2.685807228088379,0.6179686626246704,19,0.0,0.0,-0.024241545924572467,-0.21219652598665562,-0.18795498006208314,-0.017057609594957553
sciq_0005,What is the general name for a group of atoms derived from an alkane?,science,The general name for a group of atoms derived from an alkane is a molecule of an alkane.,1,0.1333333333333333,0.1333333333333333,-0.22829827403144182,-0.0061971647664904594,-1.3406535387039185,-0.7355565428733826,-0.32001253962516785,0.3564467375406291,0.0,0.5821985700015266,2.4739041328430176,0.8151926728967268,21,0.0,0.0,-0.034948413698475636,-0.40407087433413835,-0.36912246063566273,-0.03692980273231764
sciq_0006,What is one thing that cell membranes are permeable to?,science,"Cell membranes are permeable to water. They allow water to pass through, but not other substances, due to the presence of specific transport proteins that control the movement of molecules in and out of the cell.",0,0.0571428571428571,0.0,-0.42821961942662734,-0.27839577198028564,-1.5178312063217163,-0.9504784345626831,-0.76274573802948,0.4352080560320752,0.0,1.027367875403753,3.5404300689697266,0.9298512833839543,41,0.0,0.0,-0.4387632871437745,-0.4181780311245824,0.02058525601919209,0.0003145843352415631
sciq_0007,What evolutionary process has adapted protonephridia to different tasks in different environments?,science,"Protonephridia, a type of parasitic wasp, have evolved to adapt to different tasks in different environments through various physiological and morphological changes, such as the development of different types of mouthparts, such as forceps, hooks, and claws, to capture and manipulate prey, and the presence of specialized",1,0.0,0.0,-0.599337929375892,-0.3197278082370758,-2.7277913093566895,-1.4939505457878113,-1.1891299784183502,0.7034069188150417,0.0,1.4809166121262933,5.408690452575684,1.560345518019955,64,0.0,0.0,-0.3497393754453526,-0.8489364833064315,-0.49919710786107885,-0.01374824970204663
sciq_0008,Melting ice is drastically impacting the number of what at glacier national park?,science,"Melting ice at Glacier National Park is drastically impacting the number of the park's glaciers. The melting of glaciers is causing the park's glaciers to shrink, which in turn is affecting the park's hydroelectric power generation, water supply, and overall ecosystem.",0,0.048780487804878,0.0,-0.5960665678135496,-0.4462363123893738,-1.795353889465332,-1.4936389923095703,-1.1323953866958618,0.5755354492227355,0.0,1.5051991267074996,4.824828624725342,1.3569737419746566,51,0.0,0.0,-0.5444282694990398,-0.6457187777313476,-0.10129050823230779,-0.007006775250824849
sciq_0009,Where do mushrooms get their energy?,science,"Mushrooms get their energy from the sun, as they are photosynthetic organisms that use sunlight to convert carbon dioxide and water into glucose and oxygen through a process called photosynthesis. This process occurs in specialized organelles called chloroplasts, which are present in the mushroom's cells.",1,0.0434782608695652,0.0444444444444444,-0.3018335732790624,-0.11935091763734818,-1.7383804321289062,-0.8883906841278075,-0.4648449271917343,0.41368945971989407,0.0,0.670951402160858,2.921032428741455,0.7694704526717344,59,0.0,0.0,-0.3715618193658382,-0.2344296020618458,0.13713221730399242,0.0033387031212029337
sciq_0010,Which part of the atmosphere do greenhouse gasses trap heat in?,science,"The part of the atmosphere that traps heat is the troposphere, which is the lowest layer of the atmosphere, extending up to about 12 kilometers (7.5 miles) above the Earth's surface.",0,0.0714285714285714,0.0,-0.18699018906386855,-0.05931251496076584,-1.6233240365982056,-0.5222550630569458,-0.2540111839771271,0.3039820801867228,0.0,0.46126828429987654,2.736471652984619,0.5460537466407871,41,0.0,0.0,-0.2752144652436982,-0.1029670688926022,0.17224739635109598,0.010813959143120961
sciq_0011,The lens and other parts of the eye work together to focus a real image on what eye structure?,science,"The lens and other parts of the eye work together to focus a real image on the retina, which is the light-sensitive tissue at the back of the eye.",0,0.0833333333333333,0.0,-0.08025870708996763,-0.018442490603774786,-0.5819074511528015,-0.35076323002576826,-0.05289915297180414,0.14537700140002485,0.0,0.26822076333064615,1.4105173349380493,0.3679796651192762,32,0.0,0.0,-0.021668587515478066,-0.1388488266644572,-0.11718023914897913,-0.004114970524392045
sciq_0012,Reacting with metal is one thing that distinguishes acids from what?,science,"Acids are distinguished from bases by their reaction with metal, which typically results in the release of hydrogen gas. Specifically, acids react with metals to produce hydrogen gas, whereas bases react with metals to produce hydrogen chloride (or other salts).",1,0.05,0.05,-0.40111964091989705,-0.329118549823761,-1.5496805906295776,-0.8899131059646606,-0.6611730754375458,0.3901370630271799,0.0,0.9978586966993889,3.1134605407714844,0.790694261105436,47,0.0,0.0,-0.4008328306724904,-0.4013945007403284,-0.0005616700678379716,-0.005967405360044275
sciq_0013,What takes place where septa is found?,science,"Septa is a term that can refer to different things, but one common interpretation is a female member of a sect or a group, often in a religious context. In the context of the TV show ""The Vampire Diaries,"" the Septa is a high-ranking female vampire hunter and a member of the Mystic Falls Council",1,0.0416666666666666,0.0416666666666666,-0.7499393365200433,-0.5093407332897186,-2.5765788555145264,-1.8150159478187562,-1.086039662361145,0.6698327963031223,0.0,1.985793732901584,5.991921424865723,1.5516890430624892,64,0.0,0.0,-0.7105798462221173,-0.7892988268179693,-0.07871898059585192,-0.005102651406793823
sciq_0014,What branch of science explains much of what you observe and do in your daily life?,science,The branch of science that explains much of what I observe and do in my daily life is Physics.,1,0.0999999999999999,0.0999999999999999,-0.14180355236858305,-0.003333010128699243,-1.0397250652313232,-0.7726601183414459,-0.030967037193477154,0.31021760013336547,0.0,0.33394147793223966,2.269951820373535,0.6680902755896757,20,0.0,0.0,-0.1668051932569142,-0.11680191148025187,0.05000328177666233,-0.0016243254925720312
sciq_0015,What theory states that there is no interaction between individual gas particles?,science,The kinetic molecular theory states that there is no interaction between individual gas particles.,0,0.2666666666666667,0.1333333333333333,-0.23457824325887486,-0.022426443174481392,-0.89109206199646,-0.6041278600692749,-0.5512006282806396,0.300324328495298,0.0,0.62896158642446,2.0904176235198975,0.7529708393636128,15,0.0,0.0,-0.4003142598667182,-0.08955922872701194,0.31075503113970626,0.02694954184407833
sciq_0016,"Most mammals are viviparous, which refers to what reproductive result?",science,"Mammals are viviparous, which means they give birth to live young.",0,0.3076923076923077,0.0,-0.24249326902613308,-0.0775177851319313,-1.1643915176391602,-0.7595415472984314,-0.27948999404907227,0.33845077935041856,0.0,0.5794552761011907,1.784954309463501,0.5534989958631826,17,0.0,0.0,-0.20098749893645618,-0.27938728688362363,-0.07839978794716745,-0.005550461867544217
sciq_0017,Toxins and poisons are ______ enzyme inhibitos,science,Toxins and poisons are inhibitors of certain enzymes.,1,0.0,0.0,-0.3107302250931146,-0.019722663331776857,-1.9302808046340942,-0.8879745662212372,-0.26218780875205994,0.565175349785121,0.0,0.715905301234064,3.8697237968444824,1.1270874523563859,12,0.0,0.0,-0.023535281258470302,-0.5979251689277589,-0.5743898876692887,-0.0629953209800396
sciq_0018,How did the first seed plants form seeds?,science,"The first seed plants, also known as angiosperms, are believed to have formed through a process called endospermesis, where a single cell from a plant's ovary wall germinated and formed a small, single-celled embryo, which eventually developed into a seed. This process is thought to have occurred around",1,0.0,0.0,-0.587114845893673,-0.3978312015533447,-2.262981653213501,-1.4346468567848205,-0.901173859834671,0.5868465073728051,0.0,1.458541540744136,4.962468147277832,1.3199276309446963,64,0.0,0.0,-0.5266845435729124,-0.6475451482144337,-0.12086060464152126,-0.0017147986558875808
sciq_0019,"A thermite reaction is thermodynamically spontaneous, and because it is associated with a significant release of heat, it is regarded as what?",science,"A thermite reaction is thermodynamically spontaneous, and because it is associated with a significant release of heat, it is regarded as an exothermic reaction.",0,0.0909090909090909,0.0,-0.08386890786619006,-0.005700187757611275,-0.8741642832756042,-0.17230516225099562,-0.047928196378052235,0.20936049806431534,0.0,0.24550862107935245,1.5085220336914062,0.39441214076296277,32,0.0,0.0,-0.08719067046331475,-0.08054714526906537,0.006643525194249378,-0.0014901652047458074
sciq_0020,"The right and left hip bones, with the addition of the sacrum and coccyx form what section of the skeleton?",science,"The right and left hip bones, with the addition of the sacrum and coccyx, form the pelvis.",0,0.1428571428571428,0.0,-0.05767761683341632,-0.0025142895756289363,-0.3430032730102539,-0.19462053924798964,-0.08731903694570065,0.09684719580483592,0.0,0.2532416253889096,1.246840000152588,0.38536689392434587,24,0.0,0.0,-0.06789290433031663,-0.04746232933651603,0.020430574993800597,0.00019356771411564575
sciq_0021,Organs involved in digestion that do not have food pass through them are called?,science,"The organs involved in digestion that do not have food pass through them are called the ""glands"".",1,0.1176470588235294,0.1176470588235294,-0.41702752513265295,-0.049636729061603546,-1.6267707347869873,-1.3042173981666565,-0.6962187737226486,0.5612699302563481,0.0,1.2040631236857735,5.003607749938965,1.5777082280974521,20,0.0,0.0,-0.2083896919102699,-0.625665358355036,-0.4172756664447661,-0.04189016904243285
sciq_0022,"Sponges exemplify what type of arrangement, where different cells are specialized for different functions, but each cell works alone?",science,"Sponges exemplify a simple multicellular, eukaryotic arrangement, where different cells are specialized for different functions, but each cell works alone, forming a single, unified organism.",0,0.0769230769230769,0.0,-0.4017128719194596,-0.1851206198334694,-2.1283228397369385,-1.2010686159133912,-0.5558117106556892,0.5346460367173328,0.0,1.0656478976843093,4.101059913635254,1.0864542778227562,38,0.0,0.0,-0.373031881925846,-0.4303938619130732,-0.057361979987227196,-0.010585832497372147
