qid,semantic_entropy,semantic_majority_answer,label
sciq_0000,0.9502705392332347,The term for this process is metallurgy.,1
sciq_0001,-0.0,Charged particles in motion generate electromagnetic fields.,1
sciq_0002,0.5004024235381879,The third trimester exhibits the greatest growth of the fetus and culminates in labor and delivery.,0
sciq_0003,1.0549201679861442,Hyphae are part of a large fungus that lives underground.,1
sciq_0004,-0.0,The interaction between atomic orbitals is greatest when they have the same spin.,1
sciq_0005,-0.0,A general name for a group of atoms derived from an alkane is an alkyl group.,0
sciq_0006,-0.0,One thing that cell membranes are permeable to is small molecules such as oxygen and carbon dioxide for gas exchange.,1
sciq_0007,-0.0,"The evolution of protonephridia involves specialization for specific functions based on environmental needs, such as nitrogen excretion and osmoregulation.",1
sciq_0008,0.5004024235381879,Melting ice is dramatically altering the ecosystem by affecting the species that depend on glaciers for habitat and resources.,0
sciq_0009,0.5004024235381879,Mushrooms obtain their energy through photosynthesis from sunlight absorbed by chlorophyll in their cells.,1
sciq_0010,-0.0,"Greenhouse gases trap heat in the lower portion of the atmosphere, specifically between the Earth's surface and about 15-30 km above it.",0
sciq_0011,-0.0,The lens and other parts of the eye work together to focus a real image on the retina.,0
sciq_0012,0.5004024235381879,Acids react with metals to produce hydrogen gas.,1
sciq_0013,0.9502705392332347,Septa typically refers to partitions or walls within buildings that divide spaces.,1
sciq_0014,1.0549201679861442,Physics explains much of what we observe and do in our daily lives.,1
sciq_0015,-0.0,The theory that states there is no interaction between individual gas particles is known as the kinetic molecular theory.,0
sciq_0016,-0.0,Most mammals reproduce via live birth (viviparity).,1
sciq_0017,0.9502705392332347,Toxins and poisons inhibit enzymes.,1
sciq_0018,-0.0,"The first seed plants formed seeds by evolving reproductive structures that enclosed their eggs, allowing for increased protection and dispersal of viable embryos.",1
sciq_0019,-0.0,It is considered an exothermic reaction.,0
sciq_0020,1.0549201679861442,"The right and left hip bones, along with the sacrum and coccyx, form the pelvis section of the skeleton.",0
sciq_0021,-0.0,The organs involved in digestion that do not have food passing through them are called exocrine glands.,1
sciq_0022,-0.0,"Sponges exemplify an animal body plan known as radial symmetry, where cells are specialized for different functions within the same individual, though they work independently.",1
sciq_0023,0.6730116670092565,Most organic molecules are composed primarily of carbon atoms.,0
sciq_0024,-0.0,A lunar eclipse occurs when a full moon passes through Earth's umbra (shadow).,0
sciq_0025,-0.0,Enzymes can catalyze up to several million reactions per second.,0
sciq_0026,-0.0,The lithosphere is divided into a dozen major tectonic plates and several minor fault zones.,0
sciq_0027,-0.0,The energy required to remove an electron from a gaseous atom is called ionization energy.,0
sciq_0028,-0.0,Molten magma is the substance that forms igneous rocks and flows as lava when reaching the Earth's surface.,0
sciq_0029,-0.0,It is called incubation.,0
sciq_0030,-0.0,Lancelets lack a backbone that distinguishes them from other vertebrates.,0
sciq_0031,-0.0,The smallest structural and functional unit of all living organisms is the cell.,1
sciq_0032,-0.0,The population size refers to the total count of individuals within a given group or area.,0
sciq_0033,-0.0,"Jupiter reflects a lot of light due to its size because it has a strong magnetic field that causes charged particles from the sun to be attracted towards it, which then bounce off into space and back again, effectively making Jupiter glow brightly.",0
sciq_0034,-0.0,There are 20 different common amino acids needed to make proteins.,0
sciq_0035,-0.0,Herbivores,0
sciq_0036,-0.0,"Favorable traits become more common through natural selection, where individuals with those traits are more likely to survive and reproduce.",0
sciq_0037,-0.0,"Multicellular organisms grow through cell division, differentiation, and increased cell number over time, often driven by nutrient availability and environmental factors.",1
sciq_0038,-0.0,A vapor light produces visible light through the incandescence of heated gases.,1
sciq_0039,-0.0,The diaphragm is the primary muscle that regulates air flow in the lungs.,1
sciq_0040,0.5004024235381879,"Computational tools help scientists work with, understand, and make predictions about extremely complex systems.",1
sciq_0041,-0.0,Electrolysis with electricity is used to break water down into hydrogen and oxygen gases.,1
sciq_0042,-0.0,A moraine is sediment deposited by glacial movement.,1
sciq_0043,-0.0,Hertz proved that electromagnetic waves travel at the speed of light.,0
sciq_0044,-0.0,A continuous string of earthquakes indicates that a volcano is likely to be erupting or may soon do so.,1
sciq_0045,-0.0,Mollusks have a true coelom and a complete digestive system.,0
sciq_0046,-0.0,A large molecule composed of many repeating units is called a polymer.,0
sciq_0047,-0.0,There are at least 40 viruses known to cause cancer in humans.,1
sciq_0048,0.6730116670092565,"The Mesozoic Era, also known as the Age of Dinosaurs.",1
sciq_0049,-0.0,"Animals need food, water, and shelter for survival.",1
sciq_0050,0.5004024235381879,Neutrons collide with an atom of U-235 during the basic nuclear fission process.,1
sciq_0051,-0.0,The Earth's axis is an imaginary line passing through its geographic north and south poles.,0
sciq_0052,0.5004024235381879,"A flower contains reproductive parts such as petals, sepals, stamens (male), and pistils (female).",1
sciq_0053,0.6730116670092565,The Calvin Cycle is part of cellular respiration and makes ATP and NADPH.,1
sciq_0054,-0.0,"People with osteoporosis are at increased risk of fractures, especially of the hip, spine, and wrist.",0
sciq_0055,-0.0,The most abundant metal in the Earth's crust is aluminum.,1
sciq_0056,-0.0,The middle layer of connective tissue is called the reticular layer.,1
sciq_0057,-0.0,Mid-ocean ridges can extend for hundreds of kilometers and reach depths exceeding 10 km deep.,1
sciq_0058,0.6730116670092565,Natural selection.,1
sciq_0059,-0.0,The term for a measure of both speed and direction is velocity.,0
sciq_0060,-0.0,Cnidarians possess a simple nervous system used for sensing touch.,0
sciq_0061,-0.0,The retina has light-sensing photoreceptor cells called rods and cones.,0
sciq_0062,-0.0,The process by which remains or traces of living things become fossils is called fossilization.,0
sciq_0063,-0.0,"Increasing the temperature of reactants generally increases the rate of their reaction by providing more kinetic energy to molecules, allowing them to collide with greater frequency and energy.",0
sciq_0064,-0.0,Soap acts as an emulsifying agent between grease and water.,1
sciq_0065,1.0549201679861442,"""incident"" is an event, while ""reflected"" is to bounce back or appear as a copy.",1
sciq_0066,0.9502705392332347,The vibrations are changed to electrical signals by hair cells lining the organ of Corti in the inner ear.,1
