qid,question,label,hallucination_probability,predicted_label,generated_answer,category,mean_logprob,min_logprob,mean_entropy,correct_prediction
sciq_0008,Melting ice is drastically impacting the number of what at glacier national park?,0,0.7689029757194834,1,"Melting ice at Glacier National Park is drastically impacting the number of the park's glaciers. The melting of glaciers is causing the park's glaciers to shrink, which in turn is affecting the park's hydroelectric power generation, water supply, and overall ecosystem.",science,-0.5960665678135496,-1.795353889465332,1.5051991267074996,False
sciq_0029,What is it called when birds keep their eggs warm while the embryos inside develop?,0,0.6810478901719231,1,The process of keeping eggs warm for incubation is called endothermy.,science,-0.4908788472336406,-1.3014949560165403,1.1342948086559772,False
sciq_0077,Most fungi get organic compounds from what?,0,0.6388556719947002,1,"Most fungi get organic compounds from decomposing organic matter, such as dead plants and animals, and from the breakdown of other organic compounds in the environment.",science,-0.3922090371519403,-1.3651297092437744,1.0174689655394105,False
sciq_0179,What are chromosomes made of?,0,0.6285676522714233,1,"Chromosomes are made up of DNA (deoxyribonucleic acid) and proteins, which are the building blocks of life, and are organized into structures called chromosomes, which are composed of two identical sets of chromosomes, one inherited from each parent.",science,-0.3974199336340601,-1.6095423698425293,0.9843114546853868,False
sciq_0167,What are the structural and functional units of the kidneys?,0,0.619664904338264,1,"The structural units of the kidneys are the nephrons, which are tiny, bean-shaped structures that contain a nephridia (small, cup-like structures) and a glomerulus (a cluster of capillaries that filter waste and excess fluids from the blood). The functional units of the kidneys are the nephrons,",science,-0.3833755817634028,-2.1160330772399902,0.9783774587631342,False
sciq_0118,What type of map reveals the shape of a landscape?,0,0.6027055722284111,1,"A topographic map is a type of map that reveals the shape of a landscape by showing the elevation and relief of the land, including the contours, valleys, and other topographical features.",science,-0.3444628420520051,-1.5016436576843262,0.9080022730503468,False
sciq_0040,"What useful tool helps scientists work with, understand and make predictions about extremely complex systems?",0,0.5903551152640212,1,"The useful tool that helps scientists work with, understand, and make predictions about extremely complex systems is the Computational Fluid Dynamics (CFD) model. CFD models simulate the behavior of fluids and gases in various systems, such as weather patterns, ocean currents, and chemical reactions, allowing scientists to predict and analyze complex phenomena with",science,-0.347852126284259,-2.1023080348968506,0.8844021442256036,False
sciq_0037,How do multicellular organisms grow in size?,0,0.5889879997953614,1,"Multicellular organisms grow in size through a process called cell division, where a single cell divides into two or more daughter cells, each of which becomes a new individual organism. This process is called mitosis, and it allows the organism to increase in size and complexity over time.",science,-0.3505518129640482,-1.6227877140045166,0.8575927141745134,False
sciq_0133,"In the case of the moose, predation is an additional factor that regulates what?",0,0.5583788067297638,1,"In the case of the moose, predation is an additional factor that regulates the moose's population growth. Moose are preyed upon by predators such as wolves, bears, and mountain lions, which helps to maintain a balance in their ecosystem.",science,-0.2747556698519111,-1.1431595087051392,0.7633673031907529,False
sciq_0120,"Illustrating how form follows function, long, slender protein strands that make up what tissue are essential for contracting and relaxing?",0,0.5528205536734884,1,"Muscle tissue is essential for contracting and relaxing, and the long, slender protein strands that make up muscle tissue are called actin and myosin filaments. These filaments are arranged in a specific pattern to form sarcomeres, which are the functional units of muscle contraction.",science,-0.2914922364508017,-1.325173020362854,0.7413872483731737,False
