qid,question,category,generated_answer,num_new_tokens,mean_logprob,min_logprob,mean_entropy,correct_sim,incorrect_sim,label,llm_calls
sciq_0000,What term means the set of processes by which metals are extracted from their ores and converted to more useful forms?,science,The term that means the set of processes by which metals are extracted from their ores and converted to more useful forms is smelting.,27,-0.13107919794504563,-1.4452847242355347,0.3275652241432841,0.0,0.0,1,1
sciq_0001,What do charged particles in motion generate?,science,Charged particles in motion generate an electric field.,10,-0.24860702254227363,-0.9985828399658203,0.5809022764326073,0.0,0.0,1,1
sciq_0002,"During a human pregnancy, which trimester exhibits the greatest growth of the fetus and culminates in labor and delivery?",science,"The second trimester, specifically the second trimester of 13-26 weeks of gestation, is the period with the greatest growth of the fetus and culminates in labor and delivery.",39,-0.30989061043852384,-1.3173892498016357,0.6777032315725918,0.07692307692307693,0.15384615384615385,1,1
sciq_0003,What is part of a large fungus that lives underground?,science,The part of a large fungus that lives underground is called a mycelium.,16,-0.2389349987887499,-1.1924431324005127,0.6322038418002194,0.0,0.0,1,1
sciq_0004,The interaction between atomic orbitals is greatest when they have the same what?,science,The interaction between atomic orbitals is greatest when they have the same principal quantum number (n).,19,-0.12316521964145834,-1.1285526752471924,0.33460560829783054,0.0,0.0,1,1
sciq_0005,What is the general name for a group of atoms derived from an alkane?,science,The general name for a group of atoms derived from an alkane is a molecule of an alkane.,21,-0.22829827403144182,-1.3406535387039185,0.5821985700015266,0.13333333333333336,0.13333333333333336,1,1
sciq_0006,What is one thing that cell membranes are permeable to?,science,"Cell membranes are permeable to water. They allow water to pass through, but not other substances, due to the presence of specific transport proteins that control the movement of molecules in and out of the cell.",41,-0.42821961942662734,-1.5178312063217163,1.027367875403753,0.05714285714285715,0.0,0,1
sciq_0007,What evolutionary process has adapted protonephridia to different tasks in different environments?,science,"Protonephridia, a type of parasitic wasp, have evolved to adapt to different tasks in different environments through various physiological and morphological changes, such as the development of different types of mouthparts, such as forceps, hooks, and claws, to capture and manipulate prey, and the presence of specialized",64,-0.599337929375892,-2.7277913093566895,1.4809166121262933,0.0,0.0,1,1
sciq_0008,Melting ice is drastically impacting the number of what at glacier national park?,science,"Melting ice at Glacier National Park is drastically impacting the number of the park's glaciers. The melting of glaciers is causing the park's glaciers to shrink, which in turn is affecting the park's hydroelectric power generation, water supply, and overall ecosystem.",51,-0.5960665678135496,-1.795353889465332,1.5051991267074996,0.048780487804878044,0.0,0,1
sciq_0009,Where do mushrooms get their energy?,science,"Mushrooms get their energy from the sun, as they are photosynthetic organisms that use sunlight to convert carbon dioxide and water into glucose and oxygen through a process called photosynthesis. This process occurs in specialized organelles called chloroplasts, which are present in the mushroom's cells.",59,-0.3018335732790624,-1.7383804321289062,0.670951402160858,0.04347826086956522,0.04444444444444444,1,1
sciq_0010,Which part of the atmosphere do greenhouse gasses trap heat in?,science,"The part of the atmosphere that traps heat is the troposphere, which is the lowest layer of the atmosphere, extending up to about 12 kilometers (7.5 miles) above the Earth's surface.",41,-0.18699018906386855,-1.6233240365982056,0.46126828429987654,0.07142857142857142,0.0,0,1
sciq_0011,The lens and other parts of the eye work together to focus a real image on what eye structure?,science,"The lens and other parts of the eye work together to focus a real image on the retina, which is the light-sensitive tissue at the back of the eye.",32,-0.08025870708996763,-0.5819074511528015,0.26822076333064615,0.08333333333333333,0.0,0,1
sciq_0012,Reacting with metal is one thing that distinguishes acids from what?,science,"Acids are distinguished from bases by their reaction with metal, which typically results in the release of hydrogen gas. Specifically, acids react with metals to produce hydrogen gas, whereas bases react with metals to produce hydrogen chloride (or other salts).",47,-0.40111964091989705,-1.5496805906295776,0.9978586966993889,0.05,0.05,1,1
sciq_0013,What takes place where septa is found?,science,"Septa is a term that can refer to different things, but one common interpretation is a female member of a sect or a group, often in a religious context. In the context of the TV show ""The Vampire Diaries,"" the Septa is a high-ranking female vampire hunter and a member of the Mystic Falls Council",64,-0.7499393365200433,-2.5765788555145264,1.985793732901584,0.04166666666666667,0.04166666666666667,1,1
sciq_0014,What branch of science explains much of what you observe and do in your daily life?,science,The branch of science that explains much of what I observe and do in my daily life is Physics.,20,-0.14180355236858305,-1.0397250652313232,0.33394147793223966,0.09999999999999999,0.09999999999999999,1,1
sciq_0015,What theory states that there is no interaction between individual gas particles?,science,The kinetic molecular theory states that there is no interaction between individual gas particles.,15,-0.23457824325887486,-0.89109206199646,0.62896158642446,0.2666666666666667,0.13333333333333336,0,1
sciq_0016,"Most mammals are viviparous, which refers to what reproductive result?",science,"Mammals are viviparous, which means they give birth to live young.",17,-0.24249326902613308,-1.1643915176391602,0.5794552761011907,0.3076923076923077,0.0,0,1
sciq_0017,Toxins and poisons are ______ enzyme inhibitos,science,Toxins and poisons are inhibitors of certain enzymes.,12,-0.3107302250931146,-1.9302808046340942,0.715905301234064,0.0,0.0,1,1
sciq_0018,How did the first seed plants form seeds?,science,"The first seed plants, also known as angiosperms, are believed to have formed through a process called endospermesis, where a single cell from a plant's ovary wall germinated and formed a small, single-celled embryo, which eventually developed into a seed. This process is thought to have occurred around",64,-0.587114845893673,-2.262981653213501,1.458541540744136,0.0,0.0,1,1
sciq_0019,"A thermite reaction is thermodynamically spontaneous, and because it is associated with a significant release of heat, it is regarded as what?",science,"A thermite reaction is thermodynamically spontaneous, and because it is associated with a significant release of heat, it is regarded as an exothermic reaction.",32,-0.08386890786619006,-0.8741642832756042,0.24550862107935245,0.0909090909090909,0.0,0,1
sciq_0020,"The right and left hip bones, with the addition of the sacrum and coccyx form what section of the skeleton?",science,"The right and left hip bones, with the addition of the sacrum and coccyx, form the pelvis.",24,-0.05767761683341632,-0.3430032730102539,0.2532416253889096,0.14285714285714288,0.0,0,1
sciq_0021,Organs involved in digestion that do not have food pass through them are called?,science,"The organs involved in digestion that do not have food pass through them are called the ""glands"".",20,-0.41702752513265295,-1.6267707347869873,1.2040631236857735,0.11764705882352941,0.11764705882352941,1,1
sciq_0022,"Sponges exemplify what type of arrangement, where different cells are specialized for different functions, but each cell works alone?",science,"Sponges exemplify a simple multicellular, eukaryotic arrangement, where different cells are specialized for different functions, but each cell works alone, forming a single, unified organism.",38,-0.4017128719194596,-2.1283228397369385,1.0656478976843093,0.07692307692307691,0.0,0,1
sciq_0023,What form the skeletons of most organic molecules?,science,"The skeletons of most organic molecules are composed of carbon, hydrogen, oxygen, and sometimes nitrogen.",19,-0.2955417488054464,-0.9645217061042786,0.7056767426731408,0.125,0.0,0,1
sciq_0024,What type of eclipse happens when a full moon moves through earth's shadow?,science,"When a full moon moves through Earth's shadow, it is called a lunar eclipse.",17,-0.2508993432439799,-0.9075871109962463,0.7073196561969406,0.14285714285714288,0.0,0,1
sciq_0025,Enzymes can catalyze up to several million reactions per what?,science,Enzymes can catalyze up to several million reactions per second.,15,-0.09463153430157642,-0.45535892248153687,0.3503956350876251,0.18181818181818182,0.0,0,1
sciq_0026,The lithosphere is divided into a dozen major and several minor what?,science,The lithosphere is divided into a dozen major and several minor tectonic plates.,17,-0.15560910230338135,-0.9969269037246704,0.5310096010730109,0.16666666666666669,0.0,0,1
sciq_0027,The energy required to remove an electron from a gaseous atom is called?,science,The energy required to remove an electron from a gaseous atom is called ionization energy.,19,-0.04170789291504805,-0.5572140216827393,0.14884068151877727,0.2857142857142857,0.14285714285714285,0,1
sciq_0028,"What substance, which forms igneous rock, flows out in rivers of lava when it reaches the surface?",science,The substance that forms igneous rock and flows out in rivers of lava when it reaches the surface is magma.,22,-0.16315609335680908,-1.4936964511871338,0.4371225557042635,0.10526315789473684,0.0,0,1
sciq_0029,What is it called when birds keep their eggs warm while the embryos inside develop?,science,The process of keeping eggs warm for incubation is called endothermy.,15,-0.49087884723364067,-1.3014949560165405,1.1342948086559772,0.18181818181818182,0.0,0,1
sciq_0030,The lancelet lacks what feature that distinguishes vertebrates?,science,"The lancelet lacks a vertebral column, which distinguishes it from vertebrates.",17,-0.29251556192192607,-0.970024824142456,0.7878778301699854,0.0,0.0,1,1
sciq_0031,What are the smallest structural and functional unit of all living organisms?,science,The smallest structural and functional unit of all living organisms is the cell.,14,-0.08117659176956035,-0.4959476590156555,0.24855285224059895,0.0,0.0,1,1
sciq_0032,Population size is the number of what in a population?,science,Population size is the total number of individuals of a species or group of organisms living in a particular area at a given time.,25,-0.24188062262372115,-0.832832396030426,0.624794646371156,0.09523809523809523,0.0,0,1
sciq_0033,What does jupiter reflect a lot of due to its size?,science,"Jupiter reflects a lot of sunlight due to its massive size, which is approximately 1,321 times larger than Earth's. This is because Jupiter's large size causes the sunlight to be scattered in all directions, resulting in a bright, white appearance from space.",53,-0.5202672674098515,-1.8050663471221924,1.2468222621034826,0.046511627906976744,0.0,0,1
sciq_0034,There are 20 different common amino acids needed to make what organic compound?,science,The answer is: Proteins.,7,-0.4015529858879745,-0.9718813896179199,1.2560648040047713,0.5,0.0,0,1
sciq_0035,Non-human organisms that mainly consume plants/other primary producers are known as what?,science,Insects.,3,-0.7444962461789449,-1.3124477863311768,2.030526955922445,0.0,0.0,1,1
sciq_0036,What is the mechanism by which favorable traits become more common in organisms over the course of generations?,science,"The mechanism by which favorable traits become more common in organisms over the course of generations is through natural selection, which is the process by which individuals with favorable traits are more likely to survive and reproduce, passing those traits on to their offspring. This is achieved through the survival of the fittest, where individuals with traits that are",64,-0.2591494631484892,-1.4723141193389893,0.6314780889656504,0.07142857142857142,0.03571428571428571,0,1
sciq_0037,How do multicellular organisms grow in size?,science,"Multicellular organisms grow in size through a process called cell division, where a single cell divides into two or more daughter cells, each of which becomes a new individual organism. This process is called mitosis, and it allows the organism to increase in size and complexity over time.",56,-0.35055181296404825,-1.6227877140045166,0.8575927141745134,0.19999999999999998,0.16,0,1
sciq_0038,A vapor light produces visible light by what process?,science,"A vapor light produces visible light by exciting the atoms or molecules in the gas, causing them to release energy in the form of photons, which are then emitted as visible light.",35,-0.3086199475374347,-1.0351980924606323,0.816505812914277,0.0,0.06666666666666667,1,1
sciq_0039,Which kind of muscle regulates air flow in lungs?,science,The diaphragm is the muscle that regulates air flow in the lungs. It is a dome-shaped muscle that separates the chest cavity from the abdominal cavity and contracts and relaxes to help expand and deflate the lungs.,43,-0.14321016878624884,-0.7398167848587036,0.4143747657068415,0.0,0.0,1,1
sciq_0040,"What useful tool helps scientists work with, understand and make predictions about extremely complex systems?",science,"The useful tool that helps scientists work with, understand, and make predictions about extremely complex systems is the Computational Fluid Dynamics (CFD) model. CFD models simulate the behavior of fluids and gases in various systems, such as weather patterns, ocean currents, and chemical reactions, allowing scientists to predict and analyze complex phenomena with",64,-0.347852126284259,-2.1023080348968506,0.8844021442256036,0.0392156862745098,0.0,0,1
sciq_0041,Water can be broken down into hydrogen and oxygen gases by the addition of what?,science,Hydrogen.,4,-0.5459656682796776,-1.1576004028320312,1.1740278992801905,0.0,0.0,1,1
sciq_0042,A moraine is sediment deposited by what?,science,A moraine is typically formed by the movement of glaciers.,12,-0.5116492511854934,-1.3014609813690186,1.0439956723130308,0.0,0.0,1,1
sciq_0043,Hertz proved that what type of waves travel at the speed of light?,science,Electromagnetic waves.,5,-0.48679840392433105,-1.721977949142456,1.0128158815205097,0.6666666666666666,0.0,0,1
