qid,question,label,hallucination_probability,predicted_label,generated_answer,category,mean_logprob,min_logprob,mean_entropy,correct_prediction
sciq_0031,What are the smallest structural and functional unit of all living organisms?,1,0.282981868976741,0,The smallest structural and functional unit of all living organisms is the cell.,science,-0.0278374528187928,-0.3139432668685913,0.0825303510251355,False
sciq_0005,What is the general name for a group of atoms derived from an alkane?,1,0.3366453456392317,0,The general name for a group of atoms derived from an alkane is an alkene.,science,-0.088771477379497,-0.5463003516197205,0.1996104564184659,False
sciq_0001,What do charged particles in motion generate?,1,0.3518176875402293,0,Charged particles in motion generate electromagnetic waves.,science,-0.1397094760509382,-0.585920512676239,0.3529869701785514,False
sciq_0098,What is another name for the vertebral column?,1,0.3613732384415219,0,Another name for the vertebral column is the spine.,science,-0.1355690953161684,-0.6364996433258057,0.3028696131659671,False
sciq_0080,What are most cells surrounded by?,1,0.3970066197504347,0,Most cells are surrounded by a plasma membrane.,science,-0.1846152832214203,-0.7677971124649048,0.4212970543238852,False
sciq_0161,Oxygen is an element in what form of matter?,1,0.4182421529288647,0,Oxygen is an element in a gaseous form of matter.,science,-0.1696738796560257,-0.8558506369590759,0.4485979333818098,False
sciq_0030,The lancelet lacks what feature that distinguishes vertebrates?,1,0.4254150493679673,0,"The lancelet lacks a vertebral column, which distinguishes vertebrates from other chordates.",science,-0.2938938285069525,-0.8300392031669617,0.7181101545770616,False
sciq_0058,"Competition that occurs between members of the same species, which improves the species’ adaptations, is called what?",1,0.4348160616522828,0,"Competition between members of the same species, which improves their adaptations, is called interspecies competition.",science,-0.2255165899413441,-0.9003509283065796,0.5681994162074261,False
sciq_0094,"Water is considered a what since it is a polar molecule with slightly positive and slightly negative charges, so ions and polar molecules can readily dissolve in it?",1,0.4373140075513361,0,"Water is considered a polar molecule due to its slightly positive and slightly negative charges, allowing it to dissolve ions and polar molecules easily.",science,-0.1947590818645739,-0.9328209161758424,0.4456091631649402,False
sciq_0083,Solute potential is also called osmotic potential because solutes affect the direction of what?,1,0.466182285846567,0,Solute potential is also called osmotic potential because it affects the direction of water movement in a solution.,science,-0.207993361879787,-1.0317286252975464,0.573412462157421,False
